CustomerID,CustomerName,Email,Segment,RegionID,IsReturningCustomer
CUST1149,Rachel Lopez,fshaw@edwards.com,Consumer,3,True
CUST1150,Jill Sherman,ostewart@joyce-johnston.com,Home Office,1,False
CUST1151,Richard Jones,bakerjessica@gmail.com,Home Office,3,False
CUST1152,Timothy Tucker,lauradiaz@benton.biz,Consumer,1,False
CUST1153,Theresa Estrada,darrenjacobs@miller.com,Consumer,1,True
CUST1154,Cindy Davis,ljones@perez.biz,Consumer,4,False
CUST1155,Stacy Chan,grahampatrick@gmail.com,Corporate,4,False
CUST1156,Jennifer Torres,aguilarjane@yahoo.com,Home Office,4,True
CUST1157,Jeffery Knight,caitlindavis@gmail.com,Consumer,1,True
CUST1158,Taylor Perry,andrew29@taylor.com,Consumer,1,True
CUST1159,Raymond Navarro,hromero@garcia.info,Corporate,4,True
CUST1160,Jeremy Parks,spencermorgan@yahoo.com,Consumer,2,True
CUST1161,Thomas Rivers,gmiller@yahoo.com,Home Office,4,False
CUST1162,Angela Jones,ewright@johnson-cummings.com,Corporate,3,True
CUST1163,Allen Bailey,pwalker@yahoo.com,Corporate,4,False
CUST1164,William Fuentes,cthomas@yahoo.com,Corporate,1,False
CUST1165,Steven Clark,jgreene@hotmail.com,Consumer,4,True
CUST1166,Michael Mays,kevinholmes@martinez.com,Consumer,1,True
CUST1167,Adam Wood,mmyers@crawford-jackson.com,Consumer,4,True
CUST1168,Larry Villarreal,jenniferwhite@hotmail.com,Corporate,4,True
CUST1169,Brian Cooper,cynthiawilliamson@hotmail.com,Corporate,2,True
CUST1170,Beverly Levy,fjohnson@bridges.com,Home Office,3,False
CUST1171,John Carter,johnsawyer@walker.net,Corporate,2,True
CUST1172,Tina Fields,nicole57@hotmail.com,Consumer,1,True
CUST1173,Willie Garcia,nathanbridges@kim.info,Consumer,1,False
CUST1174,Brooke Hurst,jeffreywilson@finley.info,Corporate,4,True
CUST1175,Regina Stewart,janet06@miller.org,Home Office,1,True
CUST1176,Paul Carter,cynthiayu@hotmail.com,Corporate,4,True
CUST1177,Angel Anderson,iparker@jones.com,Corporate,1,False
CUST1178,Blake Jones,xjensen@miller-johnson.com,Corporate,1,True
CUST1179,Juan Yang,eric41@west.biz,Consumer,2,True
CUST1180,Jay Walsh,jeremy94@gmail.com,Consumer,1,False
CUST1181,Jeremy Wood,lesliesilva@brown-kaiser.info,Consumer,3,True
CUST1182,Amy Ortiz,paul01@yahoo.com,Corporate,3,True
CUST1183,Nicholas Flores,nicolewilson@wright-soto.com,Home Office,3,True
CUST1184,Edward Ruiz,coopernathaniel@hotmail.com,Corporate,1,True
CUST1185,Rebecca Hill,morganandrea@odonnell.com,Corporate,1,False
CUST1186,Melissa Flynn,mauricecarney@hotmail.com,Consumer,3,False
CUST1187,James Saunders,kingdalton@gmail.com,Consumer,1,False
CUST1188,David Chavez,yjohnson@reed.com,Corporate,3,True
CUST1189,Brenda Ford,raymondlynch@gonzales.com,Home Office,4,True
CUST1190,Karen Harris,stevenedwards@hill.com,Consumer,3,False
CUST1191,Michael Montgomery,kyle50@carr.com,Home Office,4,True
CUST1192,Edwin Mack,tiffany88@grimes-davis.net,Home Office,4,False
CUST1193,Kimberly Moore,millertiffany@yahoo.com,Corporate,1,True
CUST1194,Kaitlin Gregory,john64@johnson.com,Corporate,2,False
CUST1195,Crystal Gill,logan84@logan.net,Corporate,2,False
CUST1196,William Martinez,carla66@aguilar-king.com,Home Office,2,False
CUST1197,Amanda Scott,berickson@yahoo.com,Consumer,1,True
CUST1198,Lauren Foster,halllindsey@johnson-miller.com,Consumer,1,True
CUST1199,David Campbell,susansmith@fox-martinez.com,Corporate,4,False
